city,year,Date_Quarter,bedrooms_count,average_rate_per_night,latitude,longitude,counties,zipcodes,TotalPop,Income,Poverty
Houston,2016,First,1,$49,29.751546670465103,-95.3380179155388,Harris County,77003,4525519,57791,16.8
Humble,2016,Fourth,1,$50,30.0100616163868,-95.290028643531,Harris County,77338,4525519,57791,16.8
Houston,2014,Third,3,$150,29.7405714743522,-95.3712029609868,Harris County,77004,4525519,57791,16.8
Houston,2014,Fourth,1,$45,29.7340020177791,-95.3896631217053,Harris County,77006,4525519,57791,16.8
Houston,2016,First,1,$69,29.6950810708123,-95.4125515607768,Harris County,77054,4525519,57791,16.8
Houston,2016,First,1,$28,29.7197296502041,-95.3756615226312,Harris County,77004,4525519,57791,16.8
Houston,2015,Third,1,$125,29.7415151138369,-95.3852798113508,Harris County,77006,4525519,57791,16.8
La Porte,2016,Fourth,1,$50,29.6608505542018,-95.00623513822,Harris County,77571,4525519,57791,16.8
Houston,2015,First,1,$89,29.7084203750546,-95.348483448875,Harris County,77021,4525519,57791,16.8
Houston,2016,Third,1,$58,29.738340796558298,-95.4442366768596,Harris County,77027,4525519,57791,16.8
Katy,2016,Fourth,4,$2000,29.821543807898003,-95.7651897514484,Harris County,77449,4525519,57791,16.8
Bellaire,2016,First,2,$100,29.7188262233748,-95.4667777549082,Harris County,77401,4525519,57791,16.8
Houston,2016,Fourth,1,$90,29.7426278668992,-95.5202613115517,Harris County,77063,4525519,57791,16.8
Houston,2014,Third,1,$64,29.746224258332,-95.3922064345429,Harris County,77006,4525519,57791,16.8
Houston,2016,Fourth,1,$115,29.676977030248494,-95.456964201844,Harris County,77096,4525519,57791,16.8
Houston,2016,Third,2,$99,29.7374247654892,-95.4017010832112,Harris County,77006,4525519,57791,16.8
Houston,2014,Second,Studio,$99,29.7498019685124,-95.3550505646514,Harris County,77003,4525519,57791,16.8
Seabrook,2014,Third,1,$70,29.5830746197614,-95.0142029884953,Harris County,77586,4525519,57791,16.8
Houston,2014,Second,1,$95,29.7133408423527,-95.41402536669528,Harris County,77030,4525519,57791,16.8
Katy,2017,Second,1,$25,29.8230015744983,-95.7777932056225,Harris County,77493,4525519,57791,16.8
Houston,2017,First,1,$140,29.7505525639324,-95.367002700051,Harris County,77003,4525519,57791,16.8
Houston,2017,First,1,$80,29.7347204237228,-95.46027121278308,Harris County,77027,4525519,57791,16.8
Houston,2016,First,2,$80,29.724821080456,-95.3725220021525,Harris County,77004,4525519,57791,16.8
Baytown,2013,Fourth,1,$36,29.746296163105804,-94.96434138435622,Harris County,77520,4525519,57791,16.8
Houston,2017,First,1,$59,29.829352227214898,-95.0815494887563,Harris County,77049,4525519,57791,16.8
Houston,2013,Second,1,$35,29.705823182086394,-95.4136483726468,Harris County,77030,4525519,57791,16.8
Houston,2017,First,1,$60,30.0258071595683,-95.4398249897902,Harris County,77090,4525519,57791,16.8
Houston,2015,Second,Studio,$63,29.7325946969188,-95.38833177466933,Harris County,77006,4525519,57791,16.8
Houston,2016,Fourth,2,$119,29.749200139674503,-95.3792212355779,Harris County,77006,4525519,57791,16.8
Bellaire,2016,Fourth,6,$584,29.720577996206003,-95.46246251770192,Harris County,77401,4525519,57791,16.8
Humble,2016,First,1,$39,29.9379836358694,-95.2175039923388,Harris County,77396,4525519,57791,16.8
Houston,2014,Third,2,$150,29.745024310363696,-95.34668794769148,Harris County,77004,4525519,57791,16.8
Seabrook,2014,Fourth,1,$45,29.586596952602896,-95.05722420505371,Harris County,77586,4525519,57791,16.8
Houston,2016,Second,1,$29,29.5888835007787,-95.1348920230306,Harris County,77062,4525519,57791,16.8
Houston,2013,Third,1,$85,29.6877364788477,-95.4384404941562,Harris County,77025,4525519,57791,16.8
Seabrook,2014,Third,1,$70,29.5830746197614,-95.0142029884953,Harris County,77586,4525519,57791,16.8
Houston,2017,First,1,$45,29.688286295452105,-95.3935949801216,Harris County,77054,4525519,57791,16.8
Houston,2016,Fourth,2,$119,29.747648570777603,-95.37905164425908,Harris County,77006,4525519,57791,16.8
Houston,2016,Third,1,$150,29.747236658719302,-95.38666452774858,Harris County,77006,4525519,57791,16.8
Houston,2016,First,1,$75,29.827858025489803,-95.081412395216,Harris County,77562,4525519,57791,16.8
Bellaire,2016,First,1,$85,29.7209986243734,-95.46385155508058,Harris County,77081,4525519,57791,16.8
Shoreacres,2015,Third,1,$35,29.6248959656358,-95.0304515647554,Harris County,77571,4525519,57791,16.8
Houston,2015,Second,1,$118,29.744808202247896,-95.4646018987032,Harris County,77056,4525519,57791,16.8
